Episode,Total Reward
1,-16.426349743810523
2,-3.6489396747357796
3,-5.497472217500485
4,-2.62940756135578
5,-1.6040456516620236
6,-105.13887992814546
7,-4.994529891897161
8,-5.08347640726607
9,-2.574263950305495
10,-11.119945554326984
11,17.96192554530086
12,250.3273163886537
13,250.33202836685308
14,250.3326438773524
15,250.3324331759561
16,250.33285061944093
17,250.33267678447478
18,250.33270724283827
19,180.023595559698
20,250.33237977898233
21,250.33257473427287
22,250.33269061898488
23,250.33245432027576
24,250.33270236639714
25,250.33186635590587
26,250.33224734500902
27,250.33237122497795
28,250.33302659113002
29,250.33242095681385
30,250.33224247589186
31,250.33282869328255
32,250.3328137642319
33,250.3327449953399
34,250.33288041917737
35,250.3324527955845
36,250.33267725423602
37,250.33263716654864
38,250.33225812171744
39,250.33249405974146
40,250.33271984785637
41,250.33277042069236
42,250.3326587349649
43,250.33239090004122
44,250.33230581234164
45,250.33242588320198
46,250.33287253162385
47,250.3327217289185
48,250.33278750829857
49,250.3330783048399
50,250.3326125811501
51,250.33261518128597
52,250.33250228250813
53,250.3320498959073
54,250.33263630841475
55,250.33279957605993
56,250.3320053702192
57,250.33271878754948
58,250.33234024176292
59,250.3328611307839
60,250.33286646697337
61,250.33301693695964
62,250.3329431011082
63,250.33203737620798
64,250.33268346101158
65,250.33278253921657
66,250.33268018234884
67,250.3324161190379
68,250.3323168385409
69,250.33348276966498
70,250.33307510244364
71,250.33289721542133
72,250.33245773165956
73,250.33307655296153
74,250.33255855460976
75,250.33233329845805
76,250.3329441147486
77,250.324883271792
78,250.33247373552223
79,250.3327294394658
80,250.33228491373652
81,250.33215504291027
82,250.33223413086137
83,250.33275523861104
84,250.33228256300995
85,250.33291899388877
86,250.3330644108218
87,250.33294816434858
88,250.33227567352694
89,250.3328880479579
90,250.3321788118576
91,250.3328697126957
92,250.3322621749163
93,250.33271822662485
94,250.33233929304566
95,250.33304592299245
96,250.3324768324931
97,250.3322734562715
98,250.3324472868012
99,250.33273718754032
100,250.3329810367793
101,250.33257136347083
102,250.33238707742356
103,250.33288897239242
104,250.3325073125552
105,250.33270676190668
106,250.33286732837698
107,249.08926759210632
108,250.33303587479395
109,250.33283017820833
110,250.3320807524828
111,250.33294409331057
112,250.33307852607504
113,250.33248845203656
114,250.33256423524568
115,250.3326838352066
116,250.33313950424096
117,250.32567706986939
118,250.33257989075088
119,250.33302699640222
120,250.33239713629223
121,250.33262104118182
122,250.33215033229519
123,250.3323937910322
124,250.33276108043157
125,250.3326649857597
126,250.3328430818555
127,250.3319317293405
128,250.33253684651154
129,250.33237254861376
130,250.33293900370987
131,250.33262448500227
132,250.33222464245878
133,250.33293848840282
134,250.33246967204548
135,250.33238604864445
136,250.33208901776908
137,250.3322090782934
138,250.33269453024656
139,250.3329378294229
140,250.33286740772948
141,250.33244160870152
142,250.3327309627615
143,250.33237109772114
144,250.3323787966554
145,250.3330698476471
146,250.33243115350314
147,250.33254681540103
148,250.3325183508367
149,250.3324869739255
150,250.33299633417488
151,250.33223012731182
152,250.33263710951715
153,250.3328422351287
154,250.33100270710887
155,250.3331433541788
156,250.33305107991504
157,250.33318741229
158,250.33279682751882
159,250.332874170404
160,236.0652701540675
161,250.32188576705698
162,250.33246275801008
163,250.33269122388975
164,250.33231897103067
165,250.3322417253942
166,250.33285891348868
167,250.33264806085842
168,250.33253750485747
169,250.33228241112204
170,250.33237221129554
171,250.33228624679347
172,250.33234746825522
173,250.33298545739504
174,250.332617194809
175,250.33249405876114
176,250.3321977707621
177,250.33263849928215
178,250.33246562244005
179,250.33234375770832
180,250.33256817415614
181,250.33246330307128
182,250.33213799840905
183,250.33240855487225
184,250.33273845954622
185,250.33269033528745
186,250.33264332646587
187,250.33265165142518
188,250.33240626573388
189,250.3326044448191
190,250.33319182300062
191,250.3324846295232
192,250.332420420355
193,250.33256351144007
194,250.33262799887453
195,250.3328166959176
196,250.33225087359952
197,250.33299901413196
198,250.3332023822445
199,250.33282868220982
200,250.33267871625367
201,250.33273690990717
202,250.33215397729708
203,250.33333936432916
204,250.33277068468158
205,250.3327899804382
206,250.33221222041888
207,250.3323807410082
208,250.33283998590403
209,250.33315076360006
210,250.33310057354987
211,250.33304941821507
212,250.33293076558328
213,250.3330014289101
214,250.33215752274214
215,246.2394071248449
216,250.33261825127428
217,250.33204934907073
218,250.33269537537325
219,250.33292878885823
220,250.3326617991347
221,250.33259758445195
222,250.3318628625444
223,243.36946038004174
224,250.33297593127782
225,250.33249106492943
226,250.33221582562203
227,250.332843274945
228,250.33299831546907
229,250.33246176695513
230,250.33234842936406
231,250.33255695032017
232,250.3327157747163
233,250.33293102252554
234,250.33278994958238
235,250.3325576765092
236,250.33264589176943
237,250.33217981410212
238,250.33253154035364
239,250.3328405524342
240,250.33233040382
241,250.3325936668144
242,250.3320477681461
243,250.3325807384312
244,250.33299806876772
245,250.3327028140497
246,250.3330014564899
247,250.3325021985222
248,250.33264314916045
249,250.33277381824826
250,250.33321153550625
251,250.3325785683278
252,250.33356151340496
253,250.33283093491383
254,250.33267435630967
255,250.33263569404795
256,250.3327328153337
257,250.33235678383159
258,250.33292410625933
259,250.33311374821815
260,250.3320429478106
261,250.33248386947125
262,250.33271725102202
263,250.33269833896034
264,250.33284826016686
265,250.33221387160512
266,250.33229661672812
267,250.3325001317777
268,250.33340552513243
269,250.3322898918354
270,250.3318404285876
271,250.3330829587782
272,250.3325792549862
273,250.33213970702275
274,250.33253087079018
275,250.3329329334071
276,250.3330547153703
277,250.33305049260994
278,250.3327117926937
279,250.33242522955544
280,250.3328348634376
281,250.33269404205234
282,250.33242642809728
283,250.3327262883506
284,250.33253764634912
285,250.3329888974951
286,250.33250244514477
287,250.33248149681418
288,250.3326687186369
289,250.332714916795
290,250.33242498505572
291,250.3328051711219
292,250.33279522156215
293,250.3325463430253
294,250.33250897396368
295,250.33251155049712
296,250.33284557990007
297,250.33284362256873
298,250.33301607793229
299,250.33312349098807
300,250.33211473759417
301,250.33237245436152
302,250.3324950835217
303,250.33228074266074
304,250.33277257415074
305,250.33304313446774
306,250.33254170686408
307,250.33283868323232
308,250.33272554526638
309,250.3328970947162
310,250.3328291854883
311,250.33252688280888
312,250.33308979912073
313,250.33249312824557
314,250.3332324586008
315,250.33279438112672
316,250.33235956566955
317,250.3329528683055
318,250.3325599842598
319,250.332745760251
320,250.3324251477392
321,250.33235554934114
322,250.33288336836324
323,250.33295735773288
324,250.33227983225095
325,250.3324534599042
326,250.33262872191207
327,250.3324031824826
328,250.33276499312205
329,250.3327265776564
330,250.332716329472
331,250.33287545182716
332,250.33311326816886
333,250.3323217585975
334,250.3326955740581
335,250.33245390187022
336,250.33238798024882
337,250.3327819108734
338,250.3328665877341
339,250.33247524737175
340,250.33258335238506
341,250.3323330700637
342,250.3326684812427
343,250.33263531446082
344,250.33258423228054
